title,rating,year,poster,notes
Amadeus,8.0,1984,https://image.tmdb.org/t/p/w500/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg,Namesake!
Titanic,7.9,1997,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,
Shawn Mendes: In Wonder,8.2,2020,https://image.tmdb.org/t/p/w500/aSs7V3ryvxCSpcXcxf9NY8YBtGC.jpg,
Aladin,6.2,2009,https://image.tmdb.org/t/p/w500/90xSKwsBBciN018LyQwVhuIDJN7.jpg,is this the good one?
Aladdin,7.7,1992,https://image.tmdb.org/t/p/w500/oakAd8syy7jNQ4ZoaAGCQkTqcOV.jpg,The good one!
The Shawshank Redemption,8.7,1994,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,
Razborchivaya Nevesta,4.0,1912,https://image.tmdb.org/t/p/w500/oHtv6aoqCsLXbEguPEUnDfWWo9V.jpg,
2 Fast 2 Furious,6.5,2003,https://image.tmdb.org/t/p/w500/6nDZExrDKIXvSAghsFKVFRVJuSf.jpg,
The Little Mermaid,7.4,1989,https://image.tmdb.org/t/p/w500/plcZXvI310FkbwIptvd6rqk63LP.jpg,
Enter the Void,7.3,2009,https://image.tmdb.org/t/p/w500/krKnsfvSJM1PL40tLicRhVQ6kuG.jpg,
Dude Where's My Car?,5.5,2000,https://image.tmdb.org/t/p/w500/tc6sLnnaOZk08YndHd53aPlUast.jpg,Wow I want 90 minutes back
Moira,6.8,2019,https://image.tmdb.org/t/p/w500/1ilD4WUJjBEz4XXydu6QSJhY6EE.jpg,
Jungle Book,6.3,1942,https://image.tmdb.org/t/p/w500/zYkffyYCFO1Li1f20MyaAYUaYC4.jpg,They made this???
The Flintstones: Jogging Fever,7.3,1981,https://image.tmdb.org/t/p/w500/ojGyEoWMtpMWikZTHXrjyT9dqox.jpg,can't wait to see this!
